url,naziv,cijena,lokacija,lat,lng,Kvadrata,Pravih Kvadrata,Broj soba,Adresa,Godina izgradnje,Primarna orjentacija,stanje,balkon,dodatna kvadratura,Namjesten
https://www.olx.ba/artikal/30187346/prostor-prodaje-novogradnja-sarajevo-waves-64m2/,"PROSTOR prodaje: NOVOGRADNJA Sarajevo Waves, 64m2",171983,Ilidza,43.837598,18.298151,64,64,Dvosoban (2),Barska,Novogradnja,Jug,novogradnja,0,0,Nenamjesten
https://www.olx.ba/artikal/30298346/leader-prodaje-dvosoban-stan-u-fasadnoj-cigli-d-malta/,LEADER Prodaje: Dvosoban stan u fasadnoj cigli D.Malta,114000,Novo Sarajevo,43.852845,18.377847,50,50,Dvosoban (2),Malta,no info,no info,no info,0,0,Namjesten
https://www.olx.ba/artikal/18339304/stan-novogradnja-strogi-centar-vogosce-110m2/,"Stan, novogradnja, strogi centar Vogosce, 110m2",165000,Vogosca,43.902228,18.342587,110,110,Trosoban (3),Josanicka bb,Novogradnja,Jugoistok,novogradnja,0,0,Nenamjesten
https://www.olx.ba/artikal/26281894/trosoban-stan-na-ilidzi-pejton/,Trosoban stan na Ilidzi - Pejton,120000,Ilidza,43.833879,18.302652,59,59,Dvosoban (2),Josipa Slavenskog,no info,no info,no info,0,0,no info
https://www.olx.ba/artikal/30595615/stan-66m2-c5-dobrinja/,Stan 66m2 C5-Dobrinja,89000,Novo Sarajevo,43.82726,18.3427,66,66,Trosoban (3),Eniza Cocalica 9,1980-1989,Ostalo,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/26446605/sigenx-prodaje-novogradnja-robot-sip/,SIGENX prodaje: Novogradnja / Robot / Šip,130000,Sarajevo - Centar,43.880762,18.396082,59,59,Trosoban (3),Dejzina Bikica,Novogradnja,Jugoistok,novogradnja,0,0,no info
https://www.olx.ba/artikal/30572947/sarajevo-centar-stan-119m2-kod-katedrale/,Sarajevo centar Stan 119m2 kod katedrale,490000,Stari Grad,43.859549,18.426201,119,119,cetverosoban (4),Jeliceva 2/1,Novogradnja,Sjeveroistok,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/27326219/stan-trg-heroja-62m2-hrasno/,Stan Trg Heroja 62m2/Hrasno,120000,Novo Sarajevo,43.84825,18.382675,62,62,Dvosoban (2),Trg Heroja,no info,Jug,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/12386362/stan-ilidza-otes-60m2-2-sprat/,Stan Ilidza-Otes-60m2-2.sprat,95000,Ilidza,43.838685,18.299085,60,60,Dvosoban (2),Dragana Kulidzana,no info,no info,no info,0,0,no info
https://www.olx.ba/artikal/30559029/garsonjera-novi-grad/,Garsonjera Novi Grad,46000,"Sarajevo, Novi Grad",43.848243,18.346676,29,29,Jednosoban (1),no info,no info,no info,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/29875306/dvosoban-stan-vogosca-broj-telefona-062-685-109/,Dvosoban Stan Vogosca broj telefona 062 685 109,72000,Vogosca,47.439547,13.737408,49,49,Dvosoban (2),no info,no info,no info,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/28424698/stan-alipasino-polje-72m2-trosoban/,Stan Alipasino Polje 72m2 TROSOBAN,103000,"Sarajevo, Novi Grad",43.843059,18.349071,72,72,Trosoban (3),Ive Andrica,1970-1979,no info,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/30249773/embra-prodaje-penthouse-novogradnja-nova-otoka/,"EMBRA prodaje: Penthouse Novogradnja, Nova Otoka.",330000,"Sarajevo, Novi Grad",43.850033,18.362996,100,100,cetverosoban (4),Dzemala Bijedica,Novogradnja,Istok,novogradnja,0,0,Namjesten
https://www.olx.ba/artikal/30283131/embra-prodaje-trosoban-stan-cengic-vila-novo-s/,"EMBRA prodaje: Trosoban stan, cengic Vila, Novo S.",185000,Novo Sarajevo,43.849936,18.369618,74,74,Trosoban (3),Dzemala Bijedica,2015+,Jug,no info,0,0,Namjesten
https://www.olx.ba/artikal/26390443/novogradnja-dijamant-unikatan-5-s-stan-161m2-otoka/,"NOVOGRADNJA Dijamant Unikatan 5-s. stan 161m2, Otoka",369541,"Sarajevo, Novi Grad",43.851429,18.363007,161,161,Petosoban i vise,Dzemala Bijedica,Novogradnja,Jug,novogradnja,0,0,Nenamjesten
https://www.olx.ba/artikal/26388807/novogradnja-dijamant-cetverosoban-stan-93m2-otoka/,"NOVOGRADNJA Dijamant cetverosoban stan 93m2, Otoka",215303,"Sarajevo, Novi Grad",43.850903,18.361376,93,93,cetverosoban (4),Dzemala Bijedica,Novogradnja,Jug,novogradnja,0,0,Nenamjesten
https://www.olx.ba/artikal/30550288/prostor-prodaje-trosoban-stan-bjelave/,"PROSTOR prodaje: Trosoban stan, Bjelave",135000,Sarajevo - Centar,43.866013,18.419717,56,56,Trosoban (3),Mehmeda Šakira,Novogradnja,no info,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/30548672/trosoban-stan-ilidza/,Trosoban stan Ilidza,150000,Ilidza,no info,no info,87,87,Trosoban (3),no info,no info,no info,no info,0,0,Namjesten
https://www.olx.ba/artikal/29318219/stan-na-alipasinom/,Stan na Alipasinom,89900,"Sarajevo, Novi Grad",43.845744,18.350109,81.68,81.68,Trosoban (3),Trg Solidarnosti 23,1970-1979,Istok,no info,0,0,Namjesten
https://www.olx.ba/artikal/29786550/stan-sarajevo-novi-grad-b-f/,"Stan Sarajevo-Novi Grad ""C"" Faza",105000,"Sarajevo, Novi Grad",47.191323,14.96621,68,68,Trosoban (3),Geteova 1.,no info,no info,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/28379484/prostor-prodaje-dvosoban-stan-novogradnja-dobrinja/,PROSTOR prodaje: Dvosoban stan NOVOGRADNJA Dobrinja,104550,"Sarajevo, Novi Grad",43.831835,18.353265,61,61,Dvosoban (2),Želimira Vidovica Kelija,2015+,Zapad,novogradnja,0,0,Nenamjesten
https://www.olx.ba/artikal/30522305/stan-dobrinja-c5-sa-garazom/,Stan Dobrinja C5 sa garazom,135000,"Sarajevo, Novi Grad",43.821372,18.355431,70,70,Trosoban (3),Dobrinja C5,no info,no info,no info,0,0,Namjesten
https://www.olx.ba/artikal/30519503/stan-71-m2-sarajevo-otes-bez-placanja-posrednika/,"Stan 71 m2, Sarajevo Otes, bez placanja posrednika",99000,Ilidza,43.84125,18.297669,71,71,Trosoban (3),Trg oteskog bataljona,no info,no info,no info,0,0,no info
https://www.olx.ba/artikal/23422336/cetverosoban-stan-u-centru-grada/,cetverosoban stan u centru grada,195000,Sarajevo - Centar,43.857767,18.422131,91,91,cetverosoban (4),Branilaca Sarajeva,1970-1979,Jugoistok,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/26361122/prodajem-stan-56m2-dolac-malta/,Prodajem stan 56m2 Dolac Malta,120000,Novo Sarajevo,43.854466,18.379435,56,56,Dvosoban (2),Alojza Benca 1,1970-1979,Istok,no info,0,0,no info
https://www.olx.ba/artikal/28376950/novogradnja-dvosoban-stan-dobrinja/,"NOVOGRADNJA! Dvosoban stan, Dobrinja",104550,"Sarajevo, Novi Grad",43.83165,18.35172,62,62,Dvosoban (2),Želimira Vidovica Kelija,2015+,no info,novogradnja,0,0,Nenamjesten
https://www.olx.ba/artikal/28258660/leader-prodaje-potpuno-renoviran-stan-na-m-dvoru/,LEADER prodaje: Potpuno RENOVIRAN STAN na M. Dvoru,309500,Sarajevo - Centar,43.856924,18.411682,100,100,cetverosoban (4),Vrazova,no info,no info,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/30409766/leader-prodaje-trosoban-stan-ciglane/,LEADER prodaje: Trosoban stan Ciglane,160000,Sarajevo - Centar,43.864845,18.40724,76,76,Trosoban (3),Dajanli Ibrahim Bega,no info,no info,no info,0,0,no info
